TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
182614,LE157,6,8,66,448,150,10500,F,R,-,-,1133,7,P.BALLONE
182624,LE157,6,9,65,423,157,10500,F,R,-,-,1133,7,P.BALLONE
182654,LE157,6,10,61,423,157,10500,F,R,-,-,1133,7,P.BALLONE
182724,LE157,6,12,58,423,157,10500,F,R,-,-,1133,7,P.BALLONE
182744,LE157,6,13,55,435,153,10500,F,R,-,-,1133,5,P.BALLONE
182854,LG461,61,17,48,324,160,0,F,R,-,-,1133,7,P.BALLONE
182904,LG461,61,20,47,324,160,0,F,R,-,-,1133,7,P.BALLONE
182924,LG461,61,20,45,355,141,0,F,R,-,-,1133,7,P.BALLONE
182934,LG461,61,20,43,355,141,0,F,R,-,-,1133,7,P.BALLONE
182945,LG461,61,21,42,355,141,0,F,R,-,-,1133,7,P.BALLONE
182954,LG461,61,21,41,355,141,0,F,R,-,-,1133,7,P.BALLONE
